Sortowanie,RozmiarTablicy,MetodaInicjalizacji,CzasSortowania
InsertionSort,2500,random,68
InsertionSort,2500,ascending,0
InsertionSort,2500,descending,197
InsertionSort,2500,constant,0
InsertionSort,2500,v-shape,106
InsertionSort,5000,random,224
InsertionSort,5000,ascending,0
InsertionSort,5000,descending,347
InsertionSort,5000,constant,0
InsertionSort,5000,v-shape,174
InsertionSort,7500,random,394
InsertionSort,7500,ascending,0
InsertionSort,7500,descending,766
InsertionSort,7500,constant,0
InsertionSort,7500,v-shape,364
InsertionSort,10000,random,719
InsertionSort,10000,ascending,0
InsertionSort,10000,descending,1397
InsertionSort,10000,constant,0
InsertionSort,10000,v-shape,717
InsertionSort,12500,random,1205
InsertionSort,12500,ascending,0
InsertionSort,12500,descending,2325
InsertionSort,12500,constant,0
InsertionSort,12500,v-shape,1076
InsertionSort,15000,random,1733
InsertionSort,15000,ascending,0
InsertionSort,15000,descending,3128
InsertionSort,15000,constant,0
InsertionSort,15000,v-shape,1785
InsertionSort,17500,random,3385
InsertionSort,17500,ascending,0
InsertionSort,17500,descending,5942
InsertionSort,17500,constant,0
InsertionSort,17500,v-shape,3410
InsertionSort,20000,random,4632
InsertionSort,20000,ascending,0
InsertionSort,20000,descending,8242
InsertionSort,20000,constant,0
InsertionSort,20000,v-shape,3853
InsertionSort,22500,random,4105
InsertionSort,22500,ascending,0
InsertionSort,22500,descending,8686
InsertionSort,22500,constant,0
InsertionSort,22500,v-shape,4154
InsertionSort,25000,random,6667
InsertionSort,25000,ascending,0
InsertionSort,25000,descending,14361
InsertionSort,25000,constant,0
InsertionSort,25000,v-shape,7077
InsertionSort,27500,random,10509
InsertionSort,27500,ascending,0
InsertionSort,27500,descending,15191
InsertionSort,27500,constant,0
InsertionSort,27500,v-shape,9165
InsertionSort,30000,random,7155
InsertionSort,30000,ascending,1
InsertionSort,30000,descending,14700
InsertionSort,30000,constant,1
InsertionSort,30000,v-shape,6835
InsertionSort,32500,random,7655
InsertionSort,32500,ascending,1
InsertionSort,32500,descending,16114
InsertionSort,32500,constant,3
InsertionSort,32500,v-shape,8316
InsertionSort,35000,random,8949
InsertionSort,35000,ascending,1
InsertionSort,35000,descending,21802
InsertionSort,35000,constant,1
InsertionSort,35000,v-shape,8939
InsertionSort,37500,random,10176
InsertionSort,37500,ascending,1
InsertionSort,37500,descending,20209
InsertionSort,37500,constant,1
InsertionSort,37500,v-shape,10037
InsertionSort,40000,random,11541
InsertionSort,40000,ascending,1
InsertionSort,40000,descending,32271
InsertionSort,40000,constant,1
InsertionSort,40000,v-shape,13679
InsertionSort,42500,random,17605
InsertionSort,42500,ascending,1
InsertionSort,42500,descending,27309
InsertionSort,42500,constant,1
InsertionSort,42500,v-shape,12500
InsertionSort,45000,random,14386
InsertionSort,45000,ascending,1
InsertionSort,45000,descending,36513
InsertionSort,45000,constant,2
InsertionSort,45000,v-shape,18891
InsertionSort,47500,random,19315
InsertionSort,47500,ascending,1
InsertionSort,47500,descending,42891
InsertionSort,47500,constant,1
InsertionSort,47500,v-shape,20565
InsertionSort,50000,random,20004
InsertionSort,50000,ascending,1
InsertionSort,50000,descending,41016
InsertionSort,50000,constant,1
InsertionSort,50000,v-shape,22341
SelectionSort,2500,random,103
SelectionSort,2500,ascending,97
SelectionSort,2500,descending,102
SelectionSort,2500,constant,159
SelectionSort,2500,v-shape,140
SelectionSort,5000,random,526
SelectionSort,5000,ascending,393
SelectionSort,5000,descending,314
SelectionSort,5000,constant,314
SelectionSort,5000,v-shape,361
SelectionSort,7500,random,1081
SelectionSort,7500,ascending,1073
SelectionSort,7500,descending,968
SelectionSort,7500,constant,1083
SelectionSort,7500,v-shape,1078
SelectionSort,10000,random,2550
SelectionSort,10000,ascending,3294
SelectionSort,10000,descending,1766
SelectionSort,10000,constant,1618
SelectionSort,10000,v-shape,1528
SelectionSort,12500,random,3012
SelectionSort,12500,ascending,3544
SelectionSort,12500,descending,2794
SelectionSort,12500,constant,2913
SelectionSort,12500,v-shape,3001
SelectionSort,15000,random,3734
SelectionSort,15000,ascending,4175
SelectionSort,15000,descending,4710
SelectionSort,15000,constant,3641
SelectionSort,15000,v-shape,4089
SelectionSort,17500,random,5625
SelectionSort,17500,ascending,4948
SelectionSort,17500,descending,7053
SelectionSort,17500,constant,5285
SelectionSort,17500,v-shape,5197
SelectionSort,20000,random,7384
SelectionSort,20000,ascending,6743
SelectionSort,20000,descending,7358
SelectionSort,20000,constant,7802
