Pivot,Typ,Rozmiar,Czas
random,recurrent,2500,8
random,recurrent,5000,18
random,recurrent,7500,28
random,recurrent,10000,69
random,recurrent,12500,50
random,recurrent,15000,47
random,recurrent,17500,55
random,recurrent,20000,69
random,recurrent,22500,71
random,recurrent,25000,117
random,recurrent,27500,133
random,recurrent,30000,149
random,recurrent,32500,101
random,recurrent,35000,155
random,recurrent,37500,150
random,recurrent,40000,205
random,recurrent,42500,137
random,recurrent,45000,129
random,recurrent,47500,148
random,recurrent,50000,153
random,iterative,2500,2
random,iterative,5000,3
random,iterative,7500,5
random,iterative,10000,7
random,iterative,12500,10
random,iterative,15000,12
random,iterative,17500,12
random,iterative,20000,14
random,iterative,22500,16
random,iterative,25000,18
random,iterative,27500,24
random,iterative,30000,23
random,iterative,32500,24
random,iterative,35000,27
random,iterative,37500,29
random,iterative,40000,30
random,iterative,42500,34
random,iterative,45000,36
random,iterative,47500,37
random,iterative,50000,40
left,recurrent,2500,6
left,recurrent,5000,13
left,recurrent,7500,20
left,recurrent,10000,28
left,recurrent,12500,53
left,recurrent,15000,44
left,recurrent,17500,49
left,recurrent,20000,64
left,recurrent,22500,64
left,recurrent,25000,70
left,recurrent,27500,86
left,recurrent,30000,83
left,recurrent,32500,92
left,recurrent,35000,98
left,recurrent,37500,108
left,recurrent,40000,113
left,recurrent,42500,124
left,recurrent,45000,126
left,recurrent,47500,141
left,recurrent,50000,161
left,iterative,2500,1
left,iterative,5000,3
left,iterative,7500,5
left,iterative,10000,7
left,iterative,12500,8
left,iterative,15000,10
left,iterative,17500,13
left,iterative,20000,14
left,iterative,22500,16
left,iterative,25000,19
left,iterative,27500,22
left,iterative,30000,26
left,iterative,32500,24
left,iterative,35000,27
left,iterative,37500,28
left,iterative,40000,31
left,iterative,42500,32
left,iterative,45000,38
left,iterative,47500,37
left,iterative,50000,39
right,recurrent,2500,6
right,recurrent,5000,13
right,recurrent,7500,20
right,recurrent,10000,27
right,recurrent,12500,38
right,recurrent,15000,41
right,recurrent,17500,48
right,recurrent,20000,55
right,recurrent,22500,66
right,recurrent,25000,69
right,recurrent,27500,77
right,recurrent,30000,87
right,recurrent,32500,89
right,recurrent,35000,101
right,recurrent,37500,104
right,recurrent,40000,120
right,recurrent,42500,125
right,recurrent,45000,133
right,recurrent,47500,138
right,recurrent,50000,147
right,iterative,2500,1
right,iterative,5000,3
right,iterative,7500,5
right,iterative,10000,7
right,iterative,12500,8
right,iterative,15000,10
right,iterative,17500,13
right,iterative,20000,15
right,iterative,22500,17
right,iterative,25000,19
right,iterative,27500,20
right,iterative,30000,25
right,iterative,32500,25
right,iterative,35000,27
right,iterative,37500,29
right,iterative,40000,31
right,iterative,42500,33
right,iterative,45000,36
right,iterative,47500,41
right,iterative,50000,38
middle,recurrent,2500,6
middle,recurrent,5000,13
middle,recurrent,7500,20
middle,recurrent,10000,27
middle,recurrent,12500,34
middle,recurrent,15000,44
middle,recurrent,17500,47
middle,recurrent,20000,54
middle,recurrent,22500,66
middle,recurrent,25000,69
middle,recurrent,27500,75
middle,recurrent,30000,97
middle,recurrent,32500,92
middle,recurrent,35000,104
middle,recurrent,37500,104
middle,recurrent,40000,118
middle,recurrent,42500,122
middle,recurrent,45000,133
middle,recurrent,47500,137
middle,recurrent,50000,146
middle,iterative,2500,1
middle,iterative,5000,3
middle,iterative,7500,5
middle,iterative,10000,7
middle,iterative,12500,9
middle,iterative,15000,10
middle,iterative,17500,12
middle,iterative,20000,14
middle,iterative,22500,16
middle,iterative,25000,18
middle,iterative,27500,20
middle,iterative,30000,22
middle,iterative,32500,28
middle,iterative,35000,26
middle,iterative,37500,28
middle,iterative,40000,30
middle,iterative,42500,32
middle,iterative,45000,34
middle,iterative,47500,47
middle,iterative,50000,39
